IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
154.197.64.206,443,443,,,,SJC,100,10.8
38.28.194.67,443,443,,,,LAX,100,10.8
221.152.230.125,12281,12281,,,,ICN,100,10.8
211.57.190.246,12490,12490,,,,ICN,100,10.8
183.98.32.104,50003,50003,,,,ICN,100,10.8
106.240.1.52,20443,20443,,,,ICN,100,10.8
220.120.139.237,10250,10250,,,,ICN,100,10.8
119.200.93.101,12483,12483,,,,ICN,100,10.8
128.134.248.33,50000,50000,,,,ICN,100,10.8
154.17.224.71,51447,51447,,,,LAX,100,10.8
220.88.248.133,12229,12229,,,,ICN,100,10.8
43.198.104.113,2087,2087,,,,HKG,100,10.8
14.43.222.76,12231,12231,,,,ICN,100,10.8
154.219.5.255,2087,2087,,,,SJC,100,10.8
45.205.225.220,443,443,,,,LAX,100,10.8
154.212.46.93,443,443,,,,LAX,100,10.8
92.243.74.2,8443,8443,,,,SJC,100,10.8
154.197.64.67,443,443,,,,SJC,100,10.8
47.91.18.127,443,443,,,,SEA,100,10.8
154.21.93.156,443,443,,,,LAX,100,10.8
112.162.70.172,50000,50000,,,,ICN,100,10.8
5.182.84.50,2096,2096,,,,SJC,100,10.8
14.42.89.42,50000,50000,,,,ICN,100,10.8
112.167.237.18,50000,50000,,,,ICN,100,10.8
121.174.135.183,18032,18032,,,,ICN,100,10.8
107.174.90.107,19014,19014,,,,SJC,100,10.8
175.210.219.96,50000,50000,,,,ICN,100,10.8
198.46.152.144,443,443,,,,SJC,100,10.8
27.50.49.154,2083,2083,,,,SJC,100,10.8
104.168.43.27,37190,37190,,,,SJC,100,10.8
23.95.215.205,8443,8443,,,,SJC,100,10.8
213.241.198.56,2083,2083,,,,SJC,100,10.8
121.157.255.220,50000,50000,,,,ICN,100,10.8
131.186.20.178,27194,27194,,,,ICN,100,10.8
8.219.247.221,443,443,,,,SIN,100,10.8
220.118.59.213,12540,12540,,,,ICN,100,10.8
167.68.42.113,2053,2053,,,,SJC,100,10.8
192.9.133.168,9710,9710,,,,LAX,100,10.8
192.200.160.35,2083,2083,,,,SJC,100,10.8
